partID,productLine,prodCategory
part0a7f7c6,line7a,Machines
part84778b6,line7a,Machines
part330b1c9,line6d,Machines
parta4ebc9b,line6d,Machines
partcf299b0,line6d,Machines
partfbc80a,line6d,Machines
partc986d3f,line6d,Machines
part38c7896,line6d,Machines
partc39b72f,line6d,Machines
partd8ab54,line6d,Machines
part6c566b6,line6d,Machines
partfb880e7,linea3,Marketables
partbae5f72,linea3,Marketables
part2a70ec8,linea3,Marketables
part2cdfa47,line55,SpareParts
part0dba90d,linea3,Marketables
part71b107e,linea3,Marketables
part907c0d7,linea3,Marketables
part0db7873,linea3,Marketables
part7dc48e5,linea3,Marketables
part22a9314,linea3,Marketables
part240679b,linea3,Marketables
partc4e06b7,linea3,Marketables
part1416686,linea3,Marketables
part6465610,linea3,Marketables
part6368acb,linea3,Marketables
part9512c5f,line55,SpareParts
parta70cdf4,linea3,Marketables
partda2147c,linea3,Marketables
part5415696,linea3,Marketables
part52ba219,linea3,Marketables
part90890b8,linea3,Marketables
part68e8f9a,linea3,Marketables
part1a98ec4,linea3,Marketables
parte1d5826,line55,SpareParts
part1c333c6,linea3,Marketables
partba197ee,linea3,Marketables
partbd8e31,linea3,Marketables
part94a54dd,linea3,Marketables
partc5be67f,linea3,Marketables
part978d490,linea3,Marketables
part7fe406,linea3,Marketables
part776b5bc,linea3,Marketables
part071852a,linea3,Marketables
part009115e,linea3,Marketables
part90040e4,linea3,Marketables
parta132102,linea3,Marketables
partd6c85e0,linea3,Marketables
part3081043,linea3,Marketables
partb96cfe,linea3,Marketables
partabe5c68,linea3,Marketables
part3fdc895,linea3,Marketables
part855ce1,line55,SpareParts
partb229278,line55,SpareParts
part8aedfc7,linea3,Marketables
part6b20f6e,linea3,Marketables
partfbb5ed4,linea3,Marketables
part8bc6e42,linea3,Marketables
part6d8fbe1,linea3,Marketables
part1dfcb77,linea3,Marketables
part8d69acd,linea3,Marketables
part4fcf998,linea3,Marketables
part5cb9a07,line55,SpareParts
part2deca6a,line55,SpareParts
part082053,linea3,Marketables
parta2f3905,linea3,Marketables
part6c2d3b5,linea3,Marketables
partfcb820f,line55,SpareParts
part8ccb299,line55,SpareParts
partbcdb384,line55,SpareParts
part5360a7e,line55,SpareParts
partb2adad7,line55,SpareParts
part231eb96,linea3,Marketables
parte631cb7,line55,SpareParts
parta7ecd4d,linea3,Marketables
partdc6e04a,linea3,Marketables
partd0169af,linea3,Marketables
parta065939,linea3,Marketables
part30f0883,linea3,Marketables
part4083815,linea3,Marketables
parta6cadb6,linea3,Marketables
partd6b9d20,linea3,Marketables
part4ddd10b,linea3,Marketables
part62c3a6c,linea3,Marketables
part6ebb389,line55,SpareParts
part85a5c9,linea3,Marketables
partd8cf473,linea3,Marketables
parta8bc4e5,linea3,Marketables
part4ef5146,linea3,Marketables
partfbb962e,line55,SpareParts
part1a797f9,line55,SpareParts
part6a0a76f,linec1,Marketables
part6d7c17,linea3,Marketables
partad26186,linea3,Marketables
partdd55110,linea3,Marketables
part8e4d27a,linec1,Marketables
parte130896,linea3,Marketables
part2396bc3,linea3,Marketables
partcba464d,linea3,Marketables
part7ed487,linea3,Marketables
partd70b5ab,linea3,Marketables
part3142008,line55,SpareParts
partc47d634,line55,SpareParts
part7007178,line55,SpareParts
part63d44d,line55,SpareParts
part91c70af,line55,SpareParts
part04d84a9,linea3,Marketables
part9fb19fc,line55,SpareParts
part48cedb9,line55,SpareParts
partd85bc03,line55,SpareParts
part5af3e38,line55,SpareParts
part2a80eae,linea3,Marketables
part9855d6d,line55,SpareParts
part0f498a3,line55,SpareParts
part8b23ef2,linea3,Marketables
part1a90fb3,line55,SpareParts
partc2bf25e,line55,SpareParts
part522a3e4,line55,SpareParts
partcb7ae5,linec1,Marketables
